state,value
Alabama,5.94
Alaska,5.97
Arizona,6.07
Arkansas,5.94
California,6.08
Colorado,6.10
Connecticut,6.00
Delaware,5.95
Florida,6.09
Georgia,5.90
Hawaii,6.20
Idaho,6.10
Illinois,6.00
Indiana,5.97
Iowa,6.09
Kansas,6.06
Kentucky,6.03
Louisiana,5.86
Maine,6.28
Maryland,5.90
Massachusetts,6.03
Michigan,5.94
Minnesota,6.09
Mississippi,5.91
Missouri,6.01
Montana,6.00
Nebraska,5.97
Nevada,6.26
New Hampshire,6.06
New Jersey,6.05
New Mexico,6.08
New York,6.05
North Carolina,6.02
North Dakota,5.96
Ohio,5.97
Oklahoma,5.94
Oregon,6.04
Pennsylvania,5.97
Rhode Island,6.08
South Carolina,5.96
South Dakota,5.93
Tennessee,5.93
Texas,5.98
Utah,6.02
Vermont,6.21
Virginia,6.01
Washington,6.04
West Virginia,6.01
Wisconsin,6.07
Wyoming,6.15
District of Columbia,5.97
