abduction	621	2.76	2.06	5.53	2.43	3.49	2.38	1
abortion	622	3.50	2.30	5.39	2.80	4.59	2.54	6
absurd	623	4.26	1.82	4.36	2.20	4.73	1.72	17
abundance	624	6.59	2.01	5.51	2.63	5.80	2.16	13
abuse	1	1.80	1.23	6.83	2.70	3.69	2.94	18
acceptance	625	7.98	1.42	5.40	2.70	6.64	1.91	49
accident	2	2.05	1.19	6.26	2.87	3.76	2.22	33
ace	626	6.88	1.93	5.50	2.66	6.39	2.31	15
ache	627	2.46	1.52	5.00	2.45	3.54	1.73	4
achievement	3	7.89	1.38	5.53	2.81	6.56	2.35	65
activate	4	5.46	0.98	4.86	2.56	5.43	1.84	2
addict	581	2.48	2.08	5.66	2.26	3.72	2.54	1
addicted	628	2.51	1.42	4.81	2.46	3.46	2.23	3
admired	5	7.74	1.84	6.11	2.36	7.53	1.94	17
adorable	6	7.81	1.24	5.12	2.71	5.74	2.48	3
adult	546	6.49	1.50	4.76	1.95	5.75	2.21	25
advantage	629	6.95	1.85	4.76	2.18	6.36	2.23	73
adventure	630	7.60	1.50	6.98	2.15	6.46	1.67	14
affection	7	8.39	0.86	6.21	2.75	6.08	2.22	18
afraid	8	2.00	1.28	6.67	2.54	3.98	2.63	57
aggressive	9	5.10	1.68	5.83	2.33	5.59	2.40	17
agility	22	6.46	1.57	4.85	1.80	5.87	1.52	3
agony	10	2.43	2.17	6.06	2.67	4.02	2.49	9
agreement	631	7.08	1.59	5.02	2.24	6.22	1.85	106
air	632	6.34	1.56	4.12	2.30	5.10	1.56	257
alcoholic	582	2.84	2.34	5.69	2.36	4.45	2.56	3
alert	11	6.20	1.76	6.85	2.53	5.96	2.24	33
alien	633	5.60	1.82	5.45	2.15	4.64	2.07	16
alimony	634	3.95	2.00	4.30	2.29	4.63	2.30	2
alive	635	7.25	2.22	5.50	2.74	6.39	2.15	57
allergy	636	3.07	1.64	4.64	2.34	3.21	1.77	1
alley	637	4.48	1.97	4.91	2.42	4.00	1.70	8
alone	12	2.41	1.77	4.83	2.66	3.70	2.42	195
aloof	13	4.90	1.92	4.28	2.10	4.69	1.92	5
ambition	14	7.04	1.98	5.61	2.92	6.93	2.07	19
ambulance	15	2.47	1.50	7.33	1.96	3.22	2.29	6
angel	16	7.53	1.58	4.83	2.63	4.97	2.34	18
anger	17	2.34	1.32	7.63	1.91	5.50	2.82	48
angry	18	2.85	1.70	7.17	2.07	5.55	2.74	45
anguished	19	2.12	1.56	5.33	2.69	3.45	2.37	2
ankle	638	5.27	1.54	4.16	2.03	4.77	1.74	8
annoy	20	2.74	1.81	6.49	2.17	5.09	2.04	2
answer	639	6.63	1.68	5.41	2.43	5.85	1.88	152
anxious	21	4.81	1.98	6.92	1.81	5.33	1.82	29
applause	640	7.50	1.50	5.80	2.79	6.48	2.11	14
appliance	641	5.10	1.21	4.05	2.06	5.05	1.34	5
arm	642	5.34	1.82	3.59	2.40	5.07	1.50	94
army	23	4.72	1.75	5.03	2.03	5.03	2.45	132
aroused	24	7.97	1.00	6.63	2.70	6.14	1.97	20
arrogant	25	3.69	2.40	5.65	2.23	5.14	2.71	2
art	643	6.68	2.10	4.86	2.88	5.30	2.33	208
assassin	26	3.09	2.09	6.28	2.53	4.33	2.68	6
assault	27	2.03	1.55	7.51	2.28	3.94	3.10	15
astonished	28	6.56	1.61	6.58	2.22	5.16	1.79	6
astronaut	501	6.66	1.60	5.28	2.11	5.20	1.95	2
athletics	644	6.61	2.08	6.10	2.29	6.12	2.12	9
autumn	29	6.30	2.14	4.51	2.50	5.15	1.85	22
avalanche	645	3.29	1.95	5.54	2.37	3.61	2.00	1
avenue	646	5.50	1.37	4.12	2.01	5.40	1.53	46
awed	30	6.70	1.38	5.74	2.31	5.30	2.03	5
baby	31	8.22	1.20	5.53	2.80	5.00	2.80	62
bake	647	6.17	1.71	5.10	2.30	5.49	1.88	12
bandage	648	4.54	1.75	3.90	2.07	4.52	1.89	4
bankrupt	32	2.00	1.31	6.21	2.79	3.27	2.39	5
banner	649	5.40	0.83	3.83	1.95	4.80	1.57	8
bar	650	6.42	2.05	5.00	2.83	5.47	1.94	82
barrel	651	5.05	1.46	3.36	2.28	4.89	1.57	24
basket	547	5.45	1.15	3.63	2.02	5.76	1.45	17
bastard	33	3.36	2.16	6.07	2.15	4.17	2.40	12
bath	502	7.33	1.45	4.16	2.31	6.41	1.87	26
bathroom	548	5.55	1.36	3.88	1.72	5.65	1.59	18
bathtub	652	6.69	1.57	4.36	2.59	5.76	1.76	4
beach	34	8.03	1.59	5.53	3.07	5.44	2.52	61
beast	653	4.23	2.41	5.57	2.61	4.89	2.29	7
beautiful	654	7.60	1.64	6.17	2.34	6.29	1.81	127
beauty	35	7.82	1.16	4.95	2.57	5.53	2.10	71
bed	549	7.51	1.38	3.61	2.56	6.88	1.78	127
bees	583	3.20	2.07	6.51	2.14	4.16	2.11	15
beggar	36	3.22	2.02	4.91	2.45	4.09	2.38	2
bench	655	4.61	1.40	3.59	2.07	4.68	1.38	35
bereavement	656	4.57	1.70	4.20	2.15	4.33	1.73	4
betray	37	1.68	1.02	7.24	2.06	4.92	2.97	4
beverage	657	6.83	1.48	5.21	2.46	5.63	2.17	5
bird	38	7.27	1.36	3.17	2.23	4.42	2.26	31
birthday	39	7.84	1.92	6.68	2.11	5.89	2.61	18
black	543	5.39	1.80	4.61	2.24	5.14	1.79	203
blackmail	40	2.95	1.95	6.03	2.70	3.54	2.67	2
bland	658	4.10	1.08	3.29	1.89	4.88	1.27	3
blase	41	4.89	1.16	3.94	1.76	4.57	1.44	7
blasphemy	659	3.75	2.26	4.93	2.34	4.75	1.59	4
