abduction	621	2.33	2.13	6.09	2.72	2.76	2.49	1
abortion	622	3.15	2.39	5.85	3.09	4.00	2.55	6
absurd	623	4.70	1.30	4.65	1.93	4.70	1.42	17
abundance	624	6.55	1.90	5.10	2.53	5.55	2.11	13
abuse	1	1.46	1.03	6.88	2.83	3.81	3.12	18
acceptance	625	8.18	1.56	4.86	3.00	6.55	1.99	49
accident	2	2.08	1.29	6.48	2.62	3.92	2.29	33
ace	626	6.14	2.10	4.95	2.33	6.33	2.08	15
ache	627	2.00	1.11	4.77	2.62	3.23	1.63	4
achievement	3	8.00	1.24	5.97	2.80	6.52	2.47	65
activate	4	5.31	0.97	5.00	2.55	5.38	1.75	2
addict	581	2.12	1.48	5.68	1.95	3.68	2.54	1
addicted	628	2.29	1.49	5.09	2.67	3.29	2.43	3
admired	5	7.81	2.01	5.97	2.53	7.44	2.21	17
adorable	6	8.12	1.07	4.96	2.92	6.00	2.61	3
adult	546	6.50	1.50	4.81	1.65	5.58	2.53	25
advantage	629	6.72	2.11	4.48	2.10	6.35	2.17	73
adventure	630	8.00	1.17	7.05	1.85	6.55	1.61	14
affection	7	8.57	0.74	6.25	2.86	6.39	2.13	18
afraid	8	1.83	1.14	6.68	2.65	3.43	2.25	57
aggressive	9	4.89	1.79	5.68	2.29	5.21	2.57	17
agility	22	6.24	1.55	5.07	1.77	5.79	1.26	3
agony	10	2.41	2.15	6.34	2.62	3.75	2.62	9
agreement	631	7.38	1.63	5.14	2.51	6.00	1.75	106
air	632	6.23	1.54	3.64	2.19	5.00	1.20	257
alcoholic	582	2.00	1.36	6.00	2.12	4.08	2.56	3
alert	11	6.69	1.72	7.00	2.51	5.50	2.55	33
alien	633	4.75	1.65	5.10	2.38	5.00	2.03	16
alimony	634	4.62	2.16	5.14	2.10	5.18	2.44	2
alive	635	7.79	1.86	5.62	2.81	6.04	2.29	57
allergy	636	2.95	1.53	4.68	2.48	3.45	1.63	1
alley	637	4.19	2.16	5.43	2.66	3.64	1.99	8
alone	12	2.10	1.35	5.16	2.62	3.61	2.45	195
aloof	13	4.68	1.93	4.54	2.27	4.60	2.10	5
