Description,Word No.,Valence Mean,Valence SD,Arousal Mean,Arousal SD,Dominance Mean,Dominance SD,Word Frequency
abduction,621,2.33,2.13,6.09,2.72,2.76,2.49,1
angry,18,2.27,1.51,7.46,2.04,5.19,2.68,45
abortion,622,3.15,2.39,5.85,3.09,4.00,2.55,6
anguished,19,1.55,0.83,6.20,2.80,3.20,2.59,2
absurd,623,4.70,1.30,4.65,1.93,4.70,1.42,17
ankle,638,5.00,1.60,4.04,1.86,4.84,1.60,8
abundance,624,6.55,1.90,5.10,2.53,5.55,2.11,13
annoy,20,2.61,1.99,6.48,2.50,5.09,2.25,2
abuse,1,1.46,1.03,6.88,2.83,3.81,3.12,18
answer,639,6.32,1.64,5.18,2.63,5.64,1.56,152
acceptance,625,8.18,1.56,4.86,3.00,6.55,1.99,49
anxious,21,4.81,2.04,7.00,1.74,5.15,1.83,29
accident,2,2.08,1.29,6.48,2.62,3.92,2.29,33
applause,640,7.62,1.60,5.77,2.98,6.19,2.23,14
ace,626,6.14,2.10,4.95,2.33,6.33,2.08,15
appliance,641,5.15,0.49,3.85,1.76,5.00,1.03,5
ache,627,2.00,1.11,4.77,2.62,3.23,1.63,4
arm,642,5.21,1.86,2.92,1.89,5.08,0.97,94
achievement,3,8.00,1.24,5.97,2.80,6.52,2.47,65
army,23,4.55,1.99,5.42,2.04,4.85,2.58,132
activate,4,5.31,0.97,5.00,2.55,5.38,1.75,2
aroused,24,7.96,0.96,6.77,2.61,6.15,1.69,20
addict,581,2.12,1.48,5.68,1.95,3.68,2.54,1
arrogant,25,2.90,1.71,6.10,1.62,4.55,2.76,2
addicted,628,2.29,1.49,5.09,2.67,3.29,2.43,3
art,643,7.50,1.44,5.08,3.13,5.75,2.13,208
admired,5,7.81,2.01,5.97,2.53,7.44,2.21,17
assassin,26,2.50,1.80,6.53,2.42,4.09,2.73,6
adorable,6,8.12,1.07,4.96,2.92,6.00,2.61,3
assault,27,1.78,1.35,7.70,2.32,3.09,2.98,15
adult,546,6.50,1.50,4.81,1.65,5.58,2.53,25
astonished,28,6.60,1.70,6.70,2.18,5.15,1.69,6
advantage,629,6.72,2.11,4.48,2.10,6.35,2.17,73
astronaut,501,6.54,1.58,5.62,2.10,5.08,2.08,2
adventure,630,8.00,1.17,7.05,1.85,6.55,1.61,14
athletics,644,6.45,2.16,5.45,2.37,6.05,2.31,9
affection,7,8.57,0.74,6.25,2.86,6.39,2.13,18
autumn,29,6.47,2.27,4.34,2.55,5.25,1.97,22
afraid,8,1.83,1.14,6.68,2.65,3.43,2.25,57
avalanche,645,2.95,1.70,5.80,2.55,3.20,2.07,1
aggressive,9,4.89,1.79,5.68,2.29,5.21,2.57,17
avenue,646,5.82,1.44,3.86,2.17,5.73,1.45,46
agility,22,6.24,1.55,5.07,1.77,5.79,1.26,3
awed,30,7.05,1.19,5.42,2.48,5.85,1.63,5
agony,10,2.41,2.15,6.34,2.62,3.75,2.62,9
baby,31,8.65,0.67,4.95,2.96,5.35,2.70,62
agreement,631,7.38,1.63,5.14,2.51,6.00,1.75,106
bake,647,6.05,2.06,5.45,2.06,5.71,2.08,12
air,632,6.23,1.54,3.64,2.19,5.00,1.20,257
bandage,648,5.05,1.56,4.19,2.23,4.73,1.83,4
alcoholic,582,2.00,1.36,6.00,2.12,4.08,2.56,3
bankrupt,32,1.85,1.16,6.56,2.77,3.48,2.38,5
alert,11,6.69,1.72,7.00,2.51,5.50,2.55,33
banner,649,5.45,0.96,4.19,2.02,4.81,1.40,8
alien,633,4.75,1.65,5.10,2.38,5.00,2.03,16
bar,650,5.91,1.93,4.78,2.81,5.13,1.66,82
alimony,634,4.62,2.16,5.14,2.10,5.18,2.44,2
barrel,651,4.83,1.27,3.04,1.85,4.88,0.99,24
alive,635,7.79,1.86,5.62,2.81,6.04,2.29,57
basket,547,5.31,1.09,3.88,2.01,5.62,1.60,17
allergy,636,2.95,1.53,4.68,2.48,3.45,1.63,1
bastard,33,3.44,2.21,5.94,2.02,4.03,2.51,12
alley,637,4.19,2.16,5.43,2.66,3.64,1.99,8
bath,502,7.42,1.55,3.58,2.58,7.08,1.98,26
alone,12,2.10,1.35,5.16,2.62,3.61,2.45,195
bathroom,548,5.19,1.27,3.92,1.57,5.58,1.50,18
aloof,13,4.68,1.93,4.54,2.27,4.60,2.10,5
bathtub,652,6.75,1.48,3.25,2.53,5.80,1.67,4
ambition,14,7.88,1.53,5.42,3.13,7.50,1.75,19
beach,34,7.65,1.95,4.45,3.28,5.15,2.52,61
ambulance,15,2.27,1.54,7.62,1.98,3.00,2.23,6
beast,653,3.50,2.11,5.21,2.84,4.25,2.05,7
angel,16,7.81,1.10,4.65,2.59,5.19,2.43,18
beautiful,654,8.00,1.03,5.95,2.24,6.50,2.01,127
anger,17,2.00,1.28,8.22,1.35,5.52,3.19,48
beauty,35,8.04,1.15,4.52,2.76,5.65,2.44,71
bed,549,7.15,1.54,3.19,2.23,6.77,1.73,127
bright,671,7.91,1.41,5.62,2.22,6.52,2.32,87
