Description,Word No.,Valence Mean,Valence SD,Arousal Mean,Arousal SD,Dominance Mean,Dominance SD,Word Frequency
abduction,621,3.19,1.94,4.95,1.99,4.25,2.05,1
angry,18,3.87,1.55,6.67,2.09,6.21,2.81,45
abortion,622,4.00,2.11,4.72,2.22,5.44,2.33,6
anguished,19,2.70,1.89,4.45,2.33,3.70,2.18,2
absurd,623,3.86,2.14,4.09,2.43,4.76,2.00,17
ankle,638,5.63,1.42,4.53,2.09,4.68,1.95,8
abundance,624,6.62,2.16,5.90,2.72,6.05,2.24,13
annoy,20,3.00,1.41,6.50,1.45,5.09,1.58,2
abuse,1,2.78,1.30,6.67,2.40,3.33,2.45,18
answer,639,7.00,1.70,5.68,2.21,6.11,2.21,152
acceptance,625,7.75,1.25,6.00,2.25,6.75,1.86,49
anxious,21,4.80,1.93,6.70,2.06,5.80,1.81,29
accident,2,2.00,1.06,5.94,3.27,3.53,2.15,33
applause,640,7.33,1.37,5.83,2.57,6.89,1.91,14
ace,626,7.70,1.34,6.35,2.62,6.45,2.58,15
appliance,641,5.05,1.62,4.23,2.33,5.09,1.60,5
ache,627,3.00,1.76,5.26,2.28,3.89,1.82,4
arm,642,5.50,1.79,4.40,2.74,5.05,2.01,94
achievement,3,7.58,1.73,4.42,2.61,6.67,2.10,65
army,23,4.90,1.52,4.65,2.01,5.20,2.38,132
activate,4,5.89,0.93,4.44,2.70,5.56,2.19,2
aroused,24,8.00,1.15,6.22,3.07,6.10,2.69,20
addict,581,2.84,2.53,5.64,2.56,3.76,2.59,1
arrogant,25,4.69,2.80,5.12,2.74,5.88,2.53,2
addicted,628,2.75,1.33,4.50,2.24,3.65,2.03,3
art,643,5.70,2.36,4.60,2.60,4.75,2.49,208
admired,5,7.60,1.45,6.40,1.99,7.73,1.22,17
assassin,26,4.33,2.19,5.73,2.74,4.86,2.57,6
adorable,6,7.35,1.37,5.38,2.39,5.31,2.27,3
assault,27,2.55,1.86,7.17,2.25,5.73,2.65,15
adult,546,6.48,1.53,4.72,2.25,5.92,1.85,25
astonished,28,6.50,1.55,6.44,2.34,5.18,1.94,6
advantage,629,7.26,1.45,5.37,1.98,6.37,2.36,73
