Concepts,Anger,Disgust,Joy,Sad,Surprise ,Fear
weltschmerz,0,0,1,0,0,0
detachment,0,0,0,1,0,0
unrest,0,0,0,1,0,0
unfriendliness,1,0,0,0,0,0
unconcern,0,1,0,0,0,0
offence,1,0,0,0,0,0
tumult,1,0,0,0,0,0
turmoil,1,0,0,0,0,0
tranquillity,0,0,1,0,0,0
tranquility,0,0,1,0,0,0
quietness,0,0,0,1,0,0
quietude,1,0,0,1,0,0
thing,0,0,1,0,0,0
tenderheartedness,0,0,1,0,0,0
stir,1,0,0,0,0,0
stewing,1,0,0,0,0,0
solicitude,0,0,0,0,0,1
solicitousness,0,0,0,0,0,1
sinking,0,0,0,0,0,1
sinking_feeling,0,0,0,0,0,1
shamefacedness,0,0,0,1,0,0
sheepishness,0,0,0,1,0,0
shame,0,0,0,1,0,0
sensation,0,0,1,0,0,0
self-esteem,0,0,1,0,0,0
self-pride,0,0,1,0,0,0
self-disgust,0,1,0,0,0,0
self-hatred,0,0,0,1,0,0
self-depreciation,0,1,0,0,0,0
self-consciousness,0,0,1,0,0,0
uneasiness,0,0,0,0,0,1
uncomfortableness,0,0,0,0,0,1
security,0,0,1,0,0,0
scruple,0,0,0,1,0,0
qualm,0,0,0,1,0,0
misgiving,0,0,0,0,0,1
sanguinity,0,0,1,0,0,0
sanguineness,0,0,1,0,0,0
reverence,0,0,1,0,0,0
veneration,0,0,1,0,0,0
resignation,0,0,0,1,0,0
surrender,0,0,0,1,0,0
pridefulness,0,0,1,0,0,0
placidity,0,0,1,0,0,0
placidness,0,0,1,0,0,0
pessimism,0,1,0,0,0,0
pensiveness,0,0,0,1,0,0
brooding,0,0,0,1,0,0
peace,0,0,1,0,0,0
peacefulness,0,0,1,0,0,0
peace_of_mind,0,0,1,0,0,0
repose,0,0,0,1,0,0
serenity,0,0,1,0,0,0
heartsease,0,0,1,0,0,0
ataraxis,0,0,1,0,0,0
optimism,0,0,1,0,0,0
mercifulness,0,0,1,0,0,0
mercy,0,0,1,0,0,0
meekness,0,0,0,0,0,1
levity,0,0,1,0,0,0
languor,0,0,1,0,0,0
lassitude,0,0,1,0,0,0
listlessness,0,0,1,0,0,0
dreaminess,0,0,1,0,0,0
kind-heartedness,0,0,1,0,0,0
jolliness,0,0,1,0,0,0
jitteriness,0,0,0,0,0,1
jumpiness,0,0,0,0,0,1
nervousness,0,0,0,0,0,1
restiveness,0,0,0,0,0,1
isolation,0,0,0,1,0,0
insecurity,0,0,0,0,0,1
ingratitude,0,1,0,0,0,0
ungratefulness,0,1,0,0,0,0
indifference,0,1,0,0,0,0
impatience,1,0,0,0,0,0
designation,0,0,1,0,0,0
humility,0,0,1,0,0,0
humbleness,0,0,1,0,0,0
