Word	Havg	StDev	FreqList
الجنة	1	8.50	1.0926	2807
سعادة	2	8.38	0.9010	4727
الله	3	8.38	1.2271	305
السعادة	4	8.24	1.1704	2284
الحب	5	8.18	1.0039	401
الضحك	6	8.14	1.1068	5821
حبيبى	7	8.10	1.0926	3344
ضحك	8	8.10	0.9742	5637
لله	9	8.08	1.6517	1586
سعداء	10	8.08	1.0467	2713
سعيدا	11	8.06	1.1323	2438
احبك	12	8.06	1.0382	1587
ناجح	13	8.04	0.9681	8964
أضحك	14	8.04	1.0490	7880
حبيبتى	15	8.04	0.9889	2086
أمي	16	8.04	1.3087	184
سرور	17	8.02	1.0200	6633
سعيده	18	8.02	1.0971	3310
المضحك	19	8.00	0.9476	4806
امي	20	8.00	1.2936	978
الفوز	21	7.98	0.9792	2416
حبيبتي	22	7.98	1.1337	680
الملائكة	23	7.98	1.0398	6516
يضحك	24	7.98	1.0784	6174
مضحكة	25	7.98	1.1865	5009
نجحت	26	7.98	1.2534	2798
بسعادة	27	7.96	1.2447	9890
النجاح	28	7.96	1.1241	3551
العيد	29	7.96	1.1945	7840
الزفاف	30	7.96	1.0872	2619
سعيدة	31	7.94	1.0768	426
بالله	32	7.94	1.5440	1228
ماما	33	7.94	1.3001	1343
رائع	34	7.94	1.0956	129
والدتي	35	7.92	1.2428	3722
أمى	36	7.92	1.3827	931
نجاح	37	7.92	1.2911	6879
سعيد	38	7.90	1.2495	289
الأم	39	7.90	1.1473	1994
حبيب	40	7.90	1.0546	6787
تضحك	41	7.88	1.1542	4456
حب	42	7.88	1.2720	1428
المرح	43	7.88	0.9613	2000
مرح	44	7.88	1.1183	3169
نجحنا	45	7.86	1.0500	6073
مضحك	46	7.86	1.0882	867
ممتاز	47	7.84	1.3303	974
أحبك	48	7.84	1.2835	478
مسرورة	49	7.84	1.0373	3874
رائعة	50	7.82	1.0631	354
مبروك	51	7.82	1.1008	3471
رائعا	52	7.80	1.0302	2287
تحبنى	53	7.80	1.0302	9088
أطفالي	54	7.80	1.2122	5196
السعيد	55	7.80	1.0302	6953
بالحب	56	7.78	1.0160	5533
أصدقائى	57	7.78	1.1301	6743
الجميلة	58	7.78	0.9750	1196
حبي	59	7.78	1.0359	3390
love	60	7.78	1.6938	8624
حبيبي	61	7.76	1.1528	1222
