Word	HappRank	Havg	StDev	Gweb_Rank	TwitterRank	Gbook_Rank
verliebt	1	8.14	1.1068	--	2898	--
peace	2	8.00	1.2122	--	2914	--
frieden	3	7.96	1.3547	--	--	1096
humor	4	7.94	0.8901	3622	3731	--
liebe	5	7.94	1.4626	487	168	506
wunderschöne	6	7.92	1.4405	--	3290	--
glück	7	7.92	1.2591	1780	584	1613
wunderschönen	8	7.90	1.0546	--	3671	--
freunde	9	7.90	1.1650	621	772	1574
holiday	10	7.90	1.1112	--	1717	--
freiheit	11	7.88	1.5205	3037	2815	366
lachen	12	7.84	1.4194	4705	1359	5005
lieben	13	7.84	1.5826	2648	753	3023
urlaub	14	7.82	1.2887	735	610	--
perfekt	15	7.82	1.3506	3592	1541	--
glücklich	16	7.82	1.4384	--	1273	3032
wunderschön	17	7.80	1.3851	--	4307	--
wunderbar	18	7.80	1.2454	--	2745	--
love	19	7.80	1.3851	1696	61	--
paradise	20	7.78	1.2982	--	3243	--
freude	21	7.78	1.2501	2653	2085	1746
weihnachtsfest	22	7.78	1.2824	--	1807	--
sunshine	23	7.78	1.4469	--	4824	--
kiss	24	7.76	1.5194	--	1457	--
freundschaft	25	7.76	1.2048	--	4320	2969
schönheit	26	7.76	1.2048	4969	--	2109
schönste	27	7.76	1.1350	--	3310	--
gesund	28	7.74	1.1920	3119	2096	--
spaß	29	7.72	1.2784	1188	479	--
loves	30	7.72	1.3099	--	1479	--
freund	31	7.72	1.1073	816	936	1542
weihnachtszeit	32	7.70	1.2330	--	2578	--
wonderful	33	7.70	1.2976	--	1304	--
super	34	7.70	1.3439	837	319	--
happy	35	7.70	1.6067	4054	151	--
freuen	36	7.68	1.1147	1436	1285	--
weihnachten	37	7.68	1.5178	2645	158	--
liebes	38	7.66	1.1359	--	3426	--
geburtstag	39	7.66	1.4086	2072	1148	5007
glückwunsch	40	7.66	1.2715	--	1595	--
liebt	41	7.66	1.4792	--	1650	--
geschenke	42	7.64	1.1739	2411	836	--
spass	43	7.64	1.5748	3227	1580	--
herrlich	44	7.64	1.0645	--	4818	--
gewinner	45	7.64	1.2578	4994	2697	--
herzlich	46	7.64	1.1021	1503	2861	--
kisses	47	7.64	1.2898	--	3311	--
happiness	48	7.62	1.7600	--	4229	--
herz	49	7.62	1.1761	1855	810	1560
sun	50	7.62	1.6149	3144	2155	--
loving	51	7.60	1.2454	--	3742	--
weihnachtsgeschenke	52	7.60	1.7496	--	2053	--
christmas	53	7.60	1.4983	--	139	--
heiligabend	54	7.60	1.6782	--	2591	--
erfolg	55	7.58	1.3107	1154	996	765
kuscheln	56	7.58	1.5131	--	4758	--
schokolade	57	7.58	1.2792	--	2310	--
lecker	58	7.56	1.2803	--	1398	--
reisen	59	7.56	1.3118	495	3045	3266
weihnachtsstimmung	60	7.56	1.5539	--	4083	--
schön	61	7.56	1.2149	1005	244	2119
sommer	62	7.56	1.4020	1339	1798	1813
ferien	63	7.56	1.4165	3406	1076	--
positiv	64	7.56	1.4591	1589	4101	2180
sonne	65	7.56	1.6308	2012	1290	1795
harmonie	66	7.54	1.1643	--	--	3710
positive	67	7.54	1.0730	2812	3495	1734
lächeln	68	7.54	1.1817	--	2811	--
ausgezeichnet	69	7.52	1.1822	3081	--	--
blumen	70	7.52	1.2493	2955	--	--
witzig	71	7.52	1.1292	--	2094	--
friends	72	7.52	1.3438	2272	345	--
holidays	73	7.48	1.4320	--	1426	--
familie	74	7.48	1.2974	565	964	632
herzlichen	75	7.48	1.1292	--	2104	--
natur	76	7.48	1.3130	917	3595	228
smile	77	7.48	1.1822	--	1019	--
joy	78	7.48	1.5810	--	4742	--
toll	79	7.46	1.3881	3182	482	--
bester	80	7.46	1.2488	5070	3581	--
feierabend	81	7.46	1.4172	--	1882	--
schönes	82	7.46	1.1817	3844	869	--
kuchen	83	7.46	1.1643	4749	4245	--
traum	84	7.46	1.2324	4095	1970	3386
laughing	85	7.44	1.4020	--	3574	--
genial	86	7.44	1.4309	--	1789	--
hübsch	87	7.44	1.1457	--	3101	--
vertrauen	88	7.44	1.1634	3701	3042	1547
freizeit	89	7.44	1.2803	519	--	--
genuss	90	7.44	1.1095	3340	--	--
fröhliche	91	7.44	1.5140	--	3057	--
begeisterung	92	7.44	1.5140	--	--	4196
darling	93	7.44	1.1095	--	4016	--
freue	94	7.44	1.1095	--	1081	--
#urlaub	95	7.44	1.6183	--	3840	--
birthday	96	7.42	1.7154	--	412	--
leidenschaft	97	7.42	1.2137	--	--	4240
gewinnen	98	7.42	1.5265	1397	649	1007
geschenk	99	7.42	1.2792	4832	995	--
heimat	100	7.42	1.1445	4099	4706	1844
delicious	101	7.42	1.1796	590	--	--
herzen	102	7.42	1.6424	3214	1838	1887
weihnachtsmann	103	7.42	1.2792	--	1569	--
gesundes	104	7.42	1.1082	--	3458	--
fantastic	105	7.42	1.3107	--	3824	--
gewinn	106	7.40	1.3093	3956	--	2343
loved	107	7.40	1.2936	--	2202	--
weihnachtsgeschenk	108	7.40	1.6660	--	1698	--
träumen	109	7.40	1.2617	--	3990	--
winner	110	7.40	1.1952	--	4661	--
feiertage	111	7.40	1.4428	--	2123	--
oma	112	7.40	1.1952	--	1920	--
weihnachtsmarkt	113	7.40	1.9272	--	1350	--
lustige	114	7.40	1.0302	4602	4194	--
dankeschön	115	7.40	1.3553	--	1829	--
wochenende	116	7.40	1.5908	2211	880	--
lovely	117	7.40	1.3997	--	1762	--
wahrheit	118	7.40	1.2289	4045	2146	488
*smiles	119	7.38	1.3231	--	3956	--
beautiful	120	7.38	1.6022	--	462	--
tolles	121	7.38	1.1761	--	1812	--
feiern	122	7.38	1.2436	3500	1401	--
gerechtigkeit	123	7.38	1.3076	--	--	1886
lustig	124	7.38	1.4270	4648	1184	--
erfolgreich	125	7.38	1.2103	1697	1848	2776
schatz	126	7.38	1.5894	--	1483	--
great	127	7.38	1.4693	4411	290	--
süße	128	7.38	1.1761	--	1092	--
weihnacht	129	7.38	1.6646	--	3876	--
fun	130	7.38	1.5635	1777	706	--
zufrieden	131	7.38	1.3686	2869	2955	3606
hochzeit	132	7.36	1.3365	3082	4830	--
ferienhaus	133	7.36	1.1563	2043	3143	--
#weihnachten	134	7.36	1.8600	--	1459	--
süß	135	7.36	1.1386	--	902	--
juhu	136	7.36	1.4950	--	3939	--
party	137	7.36	1.2415	1145	572	--
lach	138	7.34	1.2715	--	3897	--
funny	139	7.34	1.5467	--	917	--
family	140	7.34	1.3644	4501	617	--
geschenke”	141	7.34	1.3940	--	4946	--
prima	142	7.34	1.3644	--	3475	--
success	143	7.34	1.5986	--	4214	--
genießen	144	7.32	1.2196	2434	3000	--
welcome	145	7.32	1.2526	--	764	--
hahahaha	146	7.32	1.7548	--	1301	--
beauty	147	7.32	1.2196	1108	2458	--
wellness	148	7.32	1.3768	1038	3387	--
gesundheit	149	7.32	1.3005	386	1951	2658
strand	150	7.32	1.3468	2841	--	--
frohes	151	7.32	1.0962	--	884	--
gut	152	7.30	1.0738	165	110	260
bestanden	153	7.30	1.5286	--	--	2563
liebsten	154	7.30	1.5419	--	2295	--
wunder	155	7.30	1.3740	4978	2688	2693
frei	156	7.30	1.3887	730	856	781
freunden	157	7.30	1.1650	2245	1672	3963
höhepunkt	158	7.30	1.2817	--	--	3950
froh	159	7.30	1.5152	--	2030	--
pretty	160	7.28	1.2943	--	1084	--
summer	161	7.28	1.6665	--	2870	--
treue	162	7.28	1.3407	--	--	3276
smiles	163	7.28	1.4148	--	5124	--
schenken	164	7.28	1.3099	--	2288	--
gewonnen	165	7.28	1.4291	4016	2174	1615
freundin	166	7.28	1.0887	2122	868	--
schönsten	167	7.28	1.2623	3481	3079	--
schönen	168	7.26	1.3524	2302	544	1735
weekend	169	7.26	1.5093	--	1622	--
music	170	7.26	1.3674	781	477	--
adorable	171	7.26	1.6011	--	4116	--
gerettet	172	7.26	1.2090	--	4884	--
nice	173	7.26	1.2747	--	333	--
friend	174	7.26	1.4542	--	741	--
lob	175	7.26	1.3219	3153	--	--
beste	176	7.26	1.3219	858	588	2032
engel	177	7.26	1.7120	3576	2427	4263
friedens	178	7.26	1.5884	--	--	2661
perfect	179	7.24	1.4223	--	966	--
lieb	180	7.24	1.1528	--	1221	--
good	181	7.24	1.2867	3204	147	--
unabhängigkeit	182	7.24	1.2382	--	--	2192
träume	183	7.24	1.3024	--	2196	--
partnerschaft	184	7.24	1.2216	3396	--	--
beliebt	185	7.24	1.1168	3479	3768	--
sweet	186	7.24	1.2545	--	749	--
gewinne	187	7.24	1.1704	--	3350	--
erfolge	188	7.24	1.3024	--	--	2140
fair	189	7.22	1.1480	--	4393	--
hahaha	190	7.22	1.7177	--	374	--
adventskalender	191	7.22	1.5292	--	806	--
kostenlos	192	7.22	1.3138	240	576	--
gold	193	7.22	1.3138	1289	1231	2813
befreiung	194	7.22	1.0359	--	--	2579
*smiles*	195	7.22	1.5687	--	4264	--
amor	196	7.22	1.2501	--	3446	--
lucky	197	7.22	1.3893	--	2484	--
chocolate	198	7.22	1.4469	--	2806	--
treu	199	7.22	1.4184	--	--	4647
perfekte	200	7.22	1.3445	4732	3214	--
sieg	201	7.20	1.6782	3679	2447	2045
hoffnung	202	7.20	1.1066	4265	2476	1386
dank	203	7.20	1.2617	734	414	1727
amazing	204	7.20	1.4142	--	376	--
romantik	205	7.20	1.1429	--	--	4327
herzens	206	7.20	1.2936	--	--	4221
beliebte	207	7.20	1.2617	3997	--	--
ehrlich	208	7.20	1.2778	--	1815	--
schnäppchen	209	7.20	1.5386	1941	2740	--
sweetest	210	7.20	1.4428	--	4625	--
dreams	211	7.20	1.5386	--	1264	--
freu	212	7.20	1.3093	--	1028	--
danke	213	7.20	1.2122	618	128	--
weihnachtsbaum	214	7.20	1.4708	--	2438	--
witz	215	7.18	1.1008	--	3691	--
kekse	216	7.18	1.2567	--	3151	--
besten	217	7.18	1.3952	553	517	849
papa	218	7.18	1.2070	--	1784	--
