Word	Havg	StDev	FreqListRank	TwitterRank
kebahagiaan	1	8.42	0.8352	2803	1145
bahagia	2	8.26	1.0844	537	396
hahahahahaha	3	8.14	1.2938	--	3741
hahahahaha	4	8.14	1.2779	--	1304
hahahhaha	5	8.14	1.2291	--	6133
berbahagia	6	8.10	1.0351	--	5996
surga	7	8.06	1.2521	1200	2205
tertawa	8	8.06	1.0382	609	1841
hahhaha	9	8.04	1.2447	--	2790
gembira	10	8.04	1.0490	2124	--
hahahahha	11	8.02	1.2696	--	5855
kegembiraan	12	8.00	0.9035	5721	--
happiness	13	7.98	1.2696	--	5068
success	14	7.98	1.1156	--	4950
hahahahah	15	7.96	1.5644	--	3353
sukses	16	7.94	1.0956	1657	478
huahahaha	17	7.94	1.6710	--	5675
happy	18	7.94	1.3157	3045	124
love	19	7.94	1.2683	1160	125
hahahaaa	20	7.92	1.3827	--	4495
ceria	21	7.90	0.9742	--	4083
cinta	22	7.88	1.0812	252	63
keberhasilan	23	7.86	1.1250	--	3887
wakakakak	24	7.86	1.4570	--	5508
tuhan	25	7.84	1.5566	121	206
hahaha	26	7.82	1.1726	--	47
perfect	27	7.82	1.2567	--	1576
sempurna	28	7.82	1.3805	545	961
hhahaha	29	7.82	1.1726	--	3103
menikah	30	7.82	1.0821	475	3888
ƗƗɑƗƗɑƗƗɑ	31	7.82	1.2567	--	1521
mencintaimu	32	7.80	1.1780	608	861
kesuksesan	33	7.80	1.0880	--	2948
wahahaha	34	7.80	1.2617	--	5497
hebat	35	7.80	1.1249	257	1055
berhasil	36	7.78	1.2501	288	1640
hahahaa	37	7.78	1.2002	--	1610
berlibur	38	7.78	1.1480	4866	--
optimis	39	7.76	1.2545	--	3054
allah	40	7.76	1.6107	887	207
hahahaha	41	7.74	1.3524	--	321
menang	42	7.74	1.1214	501	667
ketawa	43	7.74	1.1572	--	794
menyenangkan	44	7.74	1.1572	412	1534
keberuntungan	45	7.72	0.9485	1579	5907
dicintai	46	7.72	1.1787	4299	2441
kekasihku	47	7.72	1.1436	6223	--
kemenangan	48	7.72	1.3708	1560	3476
huahaha	49	7.70	1.0926	--	3450
rejeki	50	7.70	1.2330	--	3731
lucky	51	7.70	1.2817	3736	5299
senang	52	7.70	1.0738	193	838
haha	53	7.68	1.3316	--	16
perdamaian	54	7.68	1.1856	2565	--
beautiful	55	7.66	1.0224	--	1407
laughing	56	7.66	1.4654	4315	--
hahaaa	57	7.66	1.4792	--	2687
ahahaha	58	7.66	1.3793	--	1173
ƗƗɑƗƗɑƗƗɑƗƗɑ	59	7.66	1.8363	--	4113
laugh	60	7.66	1.2554	--	4389
wkwkwkwkw	61	7.66	1.6612	--	5603
holiday	62	7.66	1.2390	--	1793
ngakak	63	7.64	1.4394	--	761
hadiah	64	7.64	1.0254	692	1029
wahaha	65	7.64	1.3962	--	2558
hahahha	66	7.64	1.6258	--	1869
hehehehe	67	7.64	1.2578	--	1733
wkwkwk	68	7.62	1.4968	--	250
alhamdulillah	69	7.62	1.3834	--	489
mencintai	70	7.62	1.1045	767	568
best	71	7.62	1.3076	--	217
bertunangan	72	7.62	1.0669	5494	--
hahha	73	7.62	1.0280	--	1082
kebahagian	74	7.62	1.2919	--	5175
loving	75	7.60	1.2454	--	3712
rezeki	76	7.60	1.1249	--	3785
terindah	77	7.60	1.0690	--	1617
hahahah	78	7.60	1.4286	--	978
tersenyum	79	7.60	0.9689	1982	900
pemenang	80	7.60	1.3401	2263	2269
cantik	81	7.60	0.9476	366	214
romantis	82	7.60	0.9897	2296	1540
mencintaiku	83	7.60	1.2454	2090	4855
hªhªhªhªhª	84	7.58	1.8416	--	3800
tawa	85	7.58	1.0708	--	2213
keindahan	86	7.58	1.1968	3668	3724
cintaku	87	7.58	1.1082	4704	1169
indahnya	88	7.58	1.1445	--	2951
pernikahan	89	7.58	1.2137	931	--
terbaik	90	7.58	1.2631	307	518
ahahahaha	91	7.58	1.3716	--	4298
keajaiban	92	7.58	1.3716	1813	4485
kaya	93	7.58	1.1082	1010	169
tercinta	94	7.58	1.1265	4977	4059
sayaang	95	7.58	1.2469	--	4208
puas	96	7.58	0.9055	2537	1463
hahhaa	97	7.58	1.3415	--	3568
ibu	98	7.56	1.4309	195	225
kedamaian	99	7.56	1.1808	3303	4704
wkwkkw	100	7.56	1.6679	--	3432
wkwkwkwkwk	101	7.56	2.0118	--	3014
menyayangimu	102	7.56	0.9510	2610	3776
birthday	103	7.54	1.0144	--	704
jenius	104	7.54	1.0343	2100	--
romantic	105	7.54	1.0730	--	6125
wkwkwkw	106	7.54	1.6189	--	1796
liburan	107	7.54	1.1988	1950	362
wakakaka	108	7.54	1.6807	--	4607
mencintainya	109	7.54	1.1988	1489	4043
mempesona	110	7.54	1.1817	5132	--
bercinta	111	7.54	1.0919	1379	--
menyayangi	112	7.54	1.0730	4793	3420
libur	113	7.52	1.1993	3174	479
beasiswa	114	7.52	1.1993	6154	--
sehat	115	7.52	1.1292	1367	915
menakjubkan	116	7.52	1.2816	1203	--
wkakak	117	7.52	1.6066	--	5363
loves	118	7.52	1.2816	--	5250
bagus	119	7.52	1.0349	85	332
bersyukur	120	7.50	1.1824	3619	1426
lulus	121	7.50	1.2976	1725	1730
lezat	122	7.50	1.1650	2731	--
wakakak	123	7.50	1.6933	--	2653
gol	124	7.50	1.5286	5692	1536
pintar	125	7.50	1.0926	762	1653
great	126	7.50	1.2657	1419	1637
anugrah	127	7.50	1.3740	--	6046
bidadari	128	7.50	1.0351	--	3654
brilian	129	7.50	1.2495	4174	--
istimewa	130	7.50	1.3740	1616	2818
mengagumkan	131	7.50	1.1995	1547	--
alhamdullilah	132	7.50	1.7053	--	6178
wkwkwkwk	133	7.50	1.8544	--	967
cemerlang	134	7.50	0.9313	5337	--
membahagiakan	135	7.48	1.3738	--	3601
sayang	136	7.48	1.2493	160	109
hehee	137	7.48	1.0150	--	2278
nikah	138	7.48	1.2329	--	1512
fun	139	7.48	1.2974	6059	2142
wkakaka	140	7.48	1.8653	--	5148
sembuh	141	7.46	1.1287	2302	926
kiss	142	7.46	1.1287	--	2480
bangga	143	7.46	1.0539	1003	1194
amazing	144	7.44	1.1808	--	1908
awesome	145	7.44	1.1095	4127	4025
sayangku	146	7.44	1.1808	1863	4221
cerdas	147	7.44	1.0529	1509	3761
heheheh	148	7.44	1.3726	--	3860
damai	149	7.44	1.2480	1622	1993
miliaran	150	7.44	1.1457	6146	--
bijaksana	151	7.44	1.1634	2640	5993
jodohku	152	7.44	1.1808	--	5677
smile	153	7.44	1.1980	--	1208
senyuman	154	7.42	0.9708	--	1611
loved	155	7.42	1.3566	--	5672
bersemangat	156	7.42	1.1622	2582	--
wkwkwkk	157	7.42	1.7623	--	5686
senyum	158	7.42	1.0319	2357	800
hhaha	159	7.42	1.5131	--	1118
gratis	160	7.42	1.0515	1577	821
ktawa	161	7.42	1.5398	--	5048
lovely	162	7.42	1.1796	--	4016
mulia	163	7.40	1.1606	676	5023
wisuda	164	7.40	1.4142	--	6230
menikahinya	165	7.40	1.1952	5215	--
setia	166	7.40	1.1606	2135	624
hore	167	7.40	1.2936	5921	5018
terhebat	168	7.40	1.3401	3294	--
berkah	169	7.40	1.2617	--	3802
tuhanku	170	7.40	1.5779	1002	--
fantastis	171	7.40	1.0102	2793	--
laughs	172	7.40	1.3553	3998	--
asmara	173	7.40	1.2289	--	2729
ƗƗɐƗƗɐƗƗɐ	174	7.40	1.3851	--	1452
cintai	175	7.40	0.8806	2643	1439
keuntungan	176	7.38	1.1229	1759	--
untung	177	7.38	1.0476	4061	1080
jujur	178	7.38	1.2919	903	805
hahaa	179	7.38	1.3834	--	679
humoris	180	7.38	1.0280	--	4128
juara	181	7.38	1.1761	2038	1400
lbu	182	7.38	1.6149	4730	--
bonus	183	7.38	1.1409	5935	4575
spesial	184	7.38	1.0280	2076	2211
kesetiaan	185	7.38	1.2436	4554	4053
haaha	186	7.38	1.2599	--	4469
berlian	187	7.36	1.3211	2301	--
funny	188	7.36	1.2081	--	5011
hoki	189	7.36	1.2578	5531	--
terbaikku	190	7.36	1.2739	4659	--
ahhaha	191	7.36	1.3211	--	5780
ibuku	192	7.36	1.4251	592	3134
menikahi	193	7.36	1.2578	2922	--
lucu	194	7.36	1.1386	460	535
hehehe	195	7.36	1.2249	--	338
bersahabat	196	7.34	1.0806	5388	5652
keluarga	197	7.34	1.4514	334	748
beruntung	198	7.34	1.4654	580	2468
beauty	199	7.34	1.1886	--	5038
romance	200	7.34	1.2224	--	6080
nikmat	201	7.34	1.2056	5122	3428
ramah	202	7.34	0.9607	2279	3000
rajin	203	7.34	1.1359	--	1340
ahahah	204	7.34	1.2390	--	2583
menyukaimu	205	7.34	1.0994	2267	--
kesenangan	206	7.34	1.2224	2154	--
sayank	207	7.34	1.3188	--	4928
merdeka	208	7.34	1.2715	--	5803
humor	209	7.32	1.1507	4605	--
kecerdasan	210	7.32	1.1507	4815	--
syukur	211	7.32	1.1147	--	2711
emas	212	7.32	1.2688	941	2579
bunda	213	7.32	1.4061	--	1905
pandai	214	7.32	1.0583	2373	1498
asyik	215	7.32	1.0388	--	2196
anugerah	216	7.32	1.3468	--	5134
b'day	217	7.32	1.4907	--	3901
sayangg	218	7.32	1.3161	--	4159
bersorak	219	7.32	1.1147	3044	--
kekasih	220	7.30	1.0926	2405	1982
berhadiah	221	7.30	1.0351	--	2144
tercapai	222	7.30	1.4033	--	5203
berterimakasih	223	7.30	1.0738	5484	--
wangi	224	7.30	1.0926	--	2720
ˆ⌣ˆ	225	7.30	1.6690	--	2247
hihihihi	226	7.30	1.2817	--	5660
cintamu	227	7.30	1.3132	5983	1615
terimakasih	228	7.30	1.2657	789	1394
pahlawan	229	7.30	1.4178	871	5812
indonesia	230	7.30	1.6690	5735	244
valentine	231	7.28	1.1613	4095	--
fresh	232	7.28	1.1436	--	5870
nyaman	233	7.28	1.2296	1066	1580
perkawinan	234	7.28	1.1613	2695	--
smart	235	7.28	1.2461	--	4800
senyummu	236	7.28	1.1959	--	5539
menciummu	237	7.28	0.9906	5490	--
kencan	238	7.28	1.0309	1365	5873
makasiih	239	7.28	1.1959	--	5631
menguntungkan	240	7.28	1.1436	3512	--
kemuliaan	241	7.28	1.1959	4425	--
kecantikan	242	7.28	1.0110	4138	4073
congrats	243	7.26	1.1031	--	3924
pujian	244	7.26	1.1214	3854	--
xixixi	245	7.26	1.4259	--	5389
refreshing	246	7.26	1.1920	--	6049
ciuman	247	7.26	1.3219	1545	3757
comedy	248	7.26	1.2747	--	5042
sweet	249	7.26	1.1031	3372	1350
persahabatan	250	7.26	1.1214	2844	2487
favorit	251	7.26	1.1572	2337	2662
weekend	252	7.24	1.4078	--	1879
piknik	253	7.24	1.1350	6161	--
thanks	254	7.24	1.0984	1782	288
kebanggaan	255	7.24	1.1528	4556	--
