Word	Havg	StDev	FrqList
मां	1	7.86	1.4709	1861
दीपावली	2	7.80	1.4569	7761
सुंदर	3	7.72	1.1959	1209
ताजमहल	4	7.66	1.3342	8498
भारतीयों	5	7.64	1.1911	3733
माँ	6	7.62	1.6149	1417
इंडिया	7	7.60	1.5908	1202
होली	8	7.60	1.3997	3671
रानी	9	7.60	1.4428	1516
खुशी	10	7.56	1.5274	3430
राजकुमारी	11	7.54	1.7404	4569
गुलाब	12	7.54	1.2324	5270
मनोरंजन	13	7.52	1.4462	1606
खूबसूरती	14	7.52	1.6193	5653
हनुमान	15	7.50	1.5682	3421
भारत	16	7.50	1.9086	9
भगवान	17	7.48	1.8432	638
उपहार	18	7.48	1.3130	3972
आनंद	19	7.48	1.6066	1498
आजाद	20	7.46	1.6439	2907
रूपये	21	7.44	1.4868	7635
किंग	22	7.44	1.3577	2748
शानदार	23	7.44	1.4730	2607
चाँद	24	7.44	1.2643	5208
कामयाब	25	7.42	1.6914	4020
राम	26	7.42	1.6174	873
खजाना	27	7.42	1.6914	7910
महान	28	7.42	1.3716	566
गणपति	29	7.42	1.5661	8139
महारानी	30	7.42	1.5265	3964
इंडियन	31	7.42	1.6793	1971
बचपन	32	7.40	1.6413	1570
आजादी	33	7.40	1.7261	2142
धूमधाम	34	7.40	1.6162	8559
माता	35	7.38	1.5504	654
शिमला	36	7.38	1.4412	6149
इनाम	37	7.38	1.6769	9013
महाराजा	38	7.36	1.8156	2661
सुंदरी	39	7.36	1.5877	9554
खजाने	40	7.34	1.4373	8490
कामयाबी	41	7.34	1.7215	7005
विजेता	42	7.34	1.7215	909
सेंचुरी	43	7.34	1.5729	9146
पीएचडी	44	7.32	1.4490	9236
रविवार	45	7.32	1.8344	3126
सुखी	46	7.32	1.6468	7951
मिठाई	47	7.32	1.5178	6922
परिवार	48	7.32	1.8120	397
पिकनिक	49	7.32	1.7195	6105
सुख	50	7.32	1.4348	2155
धरती	51	7.32	1.4205	2019
जीत	52	7.32	1.5312	1275
मजा	53	7.30	1.3132	5389
आसान	54	7.30	1.3740	1639
मंदिर	55	7.30	1.4743	615
सुंदरता	56	7.30	1.4321	3953
मनमोहक	57	7.30	1.3887	9849
मातृभाषा	58	7.30	1.5286	5510
शुभ	59	7.30	1.6320	3330
पसंद	60	7.30	1.5551	1098
सोने	61	7.30	1.4880	2131
बारिश	62	7.30	1.4880	4103
महावीर	63	7.28	1.4148	3646
संगीतकारों	64	7.28	1.4148	6531
सुविधा	65	7.28	1.4852	847
महलों	66	7.28	1.4434	7685
आशा	67	7.28	1.5124	1412
जीता	68	7.28	1.4714	1729
हिमालय	69	7.28	1.6665	1937
अनमोल	70	7.28	1.6041	9709
पैसों	71	7.26	1.6513	8165
चैंपियन	72	7.26	1.8161	7306
फूलों	73	7.26	1.3524	3135
देवों	74	7.26	1.4401	9446
परमातमा	75	7.26	1.6513	4664
रोमांचक	76	7.26	1.4115	5326
बहादुर	77	7.26	1.4115	2782
सफलता	78	7.26	1.9878	789
सुनहरा	79	7.24	1.3933	9144
बहादुरी	80	7.24	1.3180	9534
खूबसूरत	81	7.24	1.7328	2444
खुश	82	7.24	1.6728	3720
परी	83	7.24	1.7562	5714
ईमानदार	84	7.24	1.5592	8192
संगीत	85	7.24	1.6107	224
बहन	86	7.24	1.5851	1928
सिंहासन	87	7.22	1.6938	3828
पौधा	88	7.22	1.3138	4232
पुरसकार	89	7.22	1.8983	180
हीरो	90	7.22	1.6938	5488
सफल	91	7.22	1.8215	607
मातृभूमि	92	7.22	2.0433	7496
ओम	93	7.22	1.6938	2200
रामायण	94	7.20	1.7379	2287
फायदा	95	7.20	1.4569	3047
अंगूर	96	7.20	1.2289	7650
हरियाली	97	7.20	1.6782	7646
विजय	98	7.20	1.7023	870
सीता	99	7.20	1.6288	3600
भारतीय	100	7.20	1.8516	113
फूल	101	7.20	1.5386	1576
गणेश	102	7.20	1.6782	2806
सुगंध	103	7.18	1.5211	7895
पैसा	104	7.18	1.4941	3607
पिताजी	105	7.18	1.4241	9048
कमाई	106	7.18	1.3045	3903
सोना	107	7.18	1.7460	3761
हिंदुसतान	108	7.18	1.8702	6344
बेटी	109	7.18	1.5477	1986
धन	110	7.18	1.5868	1061
अमृत	111	7.18	1.8035	4183
धनराशि	112	7.16	1.6581	7483
विवाह	113	7.16	1.8223	871
जीतने	114	7.16	1.6826	2613
जादू	115	7.16	1.4896	4125
आराम	116	7.14	1.4144	2553
बनारस	117	7.14	1.4144	4025
महल	118	7.14	1.3403	1754
लाभदायक	119	7.14	1.7025	3244
नई	120	7.14	1.3554	421
डायमंड	121	7.14	1.7025	9283
शिव	122	7.14	1.4144	1105
तारा	123	7.14	1.4287	2491
मीठा	124	7.14	1.5780	5193
भोजन	125	7.14	1.3403	880
युवराज	126	7.14	1.3554	7834
चमकदार	127	7.12	1.6243	6270
गायक	128	7.12	1.5732	2015
सुबह	129	7.12	1.4934	1718
जय	130	7.12	1.5862	2125
बहार	131	7.12	1.3649	5035
सौनदरय	132	7.12	1.7337	4723
महिला	133	7.12	1.3649	706
वीरता	134	7.12	1.6368	5693
महाराज	135	7.12	1.7571	2004
आधुनिक	136	7.12	1.3797	362
डेवलपमेंट	137	7.12	1.5471	7525
लाभ	138	7.12	1.4518	606
सूरज	139	7.12	1.5205	2438
शिखर	140	7.12	1.4797	2115
मुकुट	141	7.10	1.5682	7192
नोबेल	142	7.10	1.4880	2372
शिवलिंग	143	7.10	1.5286	5086
गुरू	144	7.10	1.7525	3721
हॉलीवुड	145	7.10	1.5152	3925
वीरों	146	7.10	1.5419	8644
बेहतरीन	147	7.10	1.5551	2752
युवती	148	7.10	1.4321	9543
राजा	149	7.10	1.6194	336
राधा	150	7.10	1.4178	3817
इणडिया	151	7.10	1.9086	5398
ताजा	152	7.10	1.4463	3240
ममता	153	7.10	1.5419	8787
लाभकारी	154	7.10	1.6812	4486
भला	155	7.08	1.5887	6317
चावल	156	7.08	1.2591	2816
चाँदी	157	7.08	1.4824	5447
लाख	158	7.08	1.6268	623
सदाचार	159	7.08	1.2752	8654
चैंपियनशिप	160	7.08	1.7825	7618
बगीचे	161	7.08	1.4546	6446
शिवाजी	162	7.08	1.3529	3439
चॉकलेट	163	7.08	1.7825	9436
पानी	164	7.08	1.3827	487
छुटटियों	165	7.08	1.6268	8962
साहसी	166	7.08	1.6640	7741
पिता	167	7.08	1.9466	426
सौंदरय	168	7.08	1.8827	2525
दौलत	169	7.08	1.7478	8391
कमल	170	7.08	1.4263	2682
आरती	171	7.08	1.6015	4793
संतान	172	7.06	1.5703	2754
बादशाह	173	7.06	1.6953	3553
फलों	174	7.06	1.5703	3315
रोमांटिक	175	7.06	1.9734	5781
डालर	176	7.06	1.5308	6442
बरसात	177	7.06	1.5572	6745
साहस	178	7.06	1.5440	3718
वृंदावन	179	7.06	1.6710	7067
गुरु	180	7.06	1.6340	1264
गीता	181	7.06	1.7192	3141
अपनाना	182	7.06	1.4765	9076
हीरा	183	7.06	2.0244	6897
विजयी	184	7.06	1.7427	4005
खुशबू	185	7.06	1.6214	8549
हीरे	186	7.06	1.3157	8185
गुलाबी	187	7.06	1.7660	4541
राजधानी	188	7.06	1.8116	443
तुलसी	189	7.04	1.7952	5073
मनोरंजक	190	7.04	1.6408	5803
पाठशाला	191	7.04	1.3991	8693
भाई	192	7.04	1.7952	794
फोन	193	7.04	1.3395	1805
गानों	194	7.04	1.7138	5402
देवता	195	7.04	1.5248	1494
चांद	196	7.04	1.4280	7010
दिल	197	7.04	1.6532	1622
एंटरटेनमेंट	198	7.04	1.7723	7512
मशहूर	199	7.04	1.5513	1588
मेला	200	7.04	1.6283	2866
नवीन	201	7.04	1.5903	1555
नोबल	202	7.04	1.5248	8392
शीतल	203	7.04	1.3696	5224
गोवा	204	7.04	1.5248	5122
सितारों	205	7.04	1.5903	5520
उपजाऊ	206	7.04	1.5903	4205
सफलतापूरवक	207	7.04	1.8512	2299
हिनदुसतानी	208	7.04	1.9162	5755
कॉमेडी	209	7.02	1.9948	5230
महातमा	210	7.02	2.1428	1959
करोड	211	7.02	1.7553	1187
बादाम	212	7.02	1.6841	9600
बोनस	213	7.02	1.5971	8785
मानवता	214	7.02	1.5050	4155
सफेद	215	7.02	1.7437	1186
अमीर	216	7.02	1.7437	2928
तारे	217	7.02	1.7319	3021
रोशनी	218	7.02	1.4356	3499
पुजारी	219	7.02	1.4776	5385
साधना	220	7.02	1.5971	2559
गौरव	221	7.02	1.5050	2371
महोतसव	222	7.02	1.9742	4653
कोमल	223	7.02	1.4213	3485
मधुर	224	7.02	1.7899	3725
विकास	225	7.02	1.5842	243
पवन	226	7.02	1.3923	5321
नामकरण	227	7.02	1.4497	1968
टेलिविजन	228	7.02	1.2856	4676
पितामह	229	7.00	1.5518	6284
जीते	230	7.00	1.9166	2861
महानता	231	7.00	1.6782	9390
लगन	232	7.00	1.4569	5327
कशमीर	233	7.00	1.6036	1839
तिरुपति	234	7.00	1.7957	9517
उपाधि	235	7.00	1.5253	1427
मजबूत	236	7.00	1.6413	1127
विमान	237	7.00	1.6413	1917
मैजिक	238	7.00	1.2289	9767
तारीफ	239	7.00	1.6288	8388
गंगा	240	7.00	1.7496	1268
उपासना	241	7.00	1.3702	3547
सिनेमा	242	7.00	1.6782	2497
विदेशों	243	7.00	1.5386	3057
गीतकार	244	7.00	1.4286	3835
नए	245	7.00	1.3093	447
रुपये	246	7.00	1.5518	3043
सगाई	247	7.00	1.6162	9954
देवी	248	7.00	1.5386	777
जीतकर	249	7.00	1.6036	8264
राजाओं	250	7.00	1.4708	1568
इंटरनैशनल	251	7.00	1.4983	6463
हिंद	252	7.00	1.3997	5092
मजाक	253	7.00	1.6537	4395
शॉपिंग	254	7.00	1.7613	8939
मैदान	255	7.00	1.5779	1331
अदभुत	256	7.00	1.4142	1938
आम	257	7.00	1.4846	410
शायर	258	7.00	1.2936	7460
मूवी	259	6.98	1.8125	5806
गायिका	260	6.98	1.3626	4675
उपयोगी	261	6.98	1.5185	1102
उतसव	262	6.98	1.9218	2345
पूजन	263	6.98	1.5318	4418
जनमदिन	264	6.98	1.8570	5426
बधाई	265	6.98	1.7319	8978
नदी	266	6.98	1.7437	398
पूजा	267	6.98	1.6720	1025
मन	268	6.98	1.4356	764
घर	269	6.98	1.8012	433
फेसटिवल	270	6.98	1.9948	7626
रोमांस	271	6.98	1.7899	6022
पोषण	272	6.98	1.5451	2083
वफादार	273	6.98	1.1516	8117
सोनी	274	6.96	1.4422	4747
पौधे	275	6.96	1.4280	2191
गूगल	276	6.96	1.6408	1872
लव	277	6.96	1.7838	3554
विदेश	278	6.96	1.5903	1712
भलाई	279	6.96	1.3547	9191
चांदी	280	6.96	1.8290	4359
बालकों	281	6.96	1.6532	8567
सुखद	282	6.96	1.7138	5752
भरोसा	283	6.96	1.3991	3909
आकाशगंगा	284	6.96	1.2610	8009
फैमिली	285	6.96	1.5903	8221
कुमारी	286	6.96	1.7492	4239
दशहरा	287	6.96	2.0098	9287
वेबसाईट	288	6.96	1.3696	9333
किशोरों	289	6.96	1.5774	7708
बादल	290	6.96	1.6655	4212
नारायण	291	6.96	1.5381	1546
भरपूर	292	6.96	1.5903	2893
गजल	293	6.96	1.4841	7222
चंदन	294	6.96	1.5248	7560
मेजबानी	295	6.96	1.3696	4853
सपना	296	6.96	1.6031	4353
देशी	297	6.96	1.3845	2938
पुरसकारों	298	6.96	1.8401	4092
जीवन	299	6.96	1.7019	190
सूरय	300	6.96	1.5381	1133
मुनाफा	301	6.94	1.7775	8519
सराहा	302	6.94	1.5440	6326
मोर	303	6.94	1.5832	5182
संगीतमय	304	6.94	1.9526	7842
महादेव	305	6.94	1.9837	3169
देश	306	6.94	1.8229	226
सुविधाएँ	307	6.94	1.5960	5423
सदाबहार	308	6.94	1.4486	7541
नामांकरण	309	6.94	1.3311	2945
शुभारंभ	310	6.94	1.7660	6428
टेलीविजन	311	6.94	1.3911	1671
मुंबई	312	6.94	1.6464	999
कुशलता	313	6.94	1.6464	4300
बढत	314	6.94	1.6710	7232
लहरों	315	6.94	1.3763	7734
साहब	316	6.94	1.3911	3492
फिलमें	317	6.94	1.8116	1178
बढिया	318	6.94	1.6088	5190
खिलौने	319	6.94	1.5703	8019
जानकार	320	6.94	1.3911	6797
शिशुओं	321	6.94	1.4057	6754
यश	322	6.94	1.8003	4908
शोभा	323	6.94	1.5440	4488
सुनदर	324	6.94	2.0244	1615
मनोहारी	325	6.94	1.6710	9763
रोमांच	326	6.94	1.6464	8114
इंटरनेट	327	6.94	1.8451	1810
आमिर	328	6.94	1.4765	9347
यमुना	329	6.94	1.5960	3309
लाखों	330	6.94	1.6214	2283
धनी	331	6.94	1.5572	3433
बेगम	332	6.92	1.6015	5622
परंपरा	333	6.92	1.4405	1036
रुपए	334	6.92	1.6142	3354
इंजीनियर	335	6.92	1.6268	3651
राजमहल	336	6.92	1.7124	7991
डॉलर	337	6.92	1.5232	1513
अमरीका	338	6.92	1.7594	1335
मंदिरों	339	6.92	1.7594	2101
मोती	340	6.92	1.5887	4767
सचिन	341	6.92	1.6015	6456
खिताब	342	6.92	1.4263	3567
कविताएँ	343	6.92	1.5887	4931
हासय	344	6.92	1.9042	2483
आसन	345	6.92	1.4686	4753
अमिताभ	346	6.92	1.5628	4203
खेतों	347	6.92	1.2591	4356
नायक	348	6.92	1.3529	2137
सहमति	349	6.92	1.1753	2458
राखी	350	6.92	2.0388	5961
सितारे	351	6.92	1.5628	5723
विशेषता	352	6.92	1.7710	978
बॉलीवुड	353	6.90	1.6933	4535
वैभव	354	6.90	1.5152	5329
उपयोग	355	6.90	1.3439	252
गोदावरी	356	6.90	1.4604	7256
संतोष	357	6.90	1.7053	5750
ताज	358	6.90	1.7642	5499
हिनदुसतान	359	6.90	2.2246	3985
खेलने	360	6.90	1.5419	3385
शतक	361	6.90	1.5682	8292
रुपया	362	6.90	1.7525	8415
अधिक	363	6.90	1.6568	152
नागरिक	364	6.90	1.3439	1198
अभिनेता	365	6.90	1.6320	997
नौकरी	366	6.90	1.5419	2342
पावन	367	6.90	1.7409	5920
सही	368	6.90	1.5017	649
देवताओं	369	6.90	1.8544	1736
नवजात	370	6.90	1.4033	5252
मीठी	371	6.90	1.5286	8867
अनोखे	372	6.90	1.5940	9075
मामा	373	6.90	1.5551	6921
दोसती	374	6.90	1.7053	5301
सजाया	375	6.90	1.4880	5968
माधुरी	376	6.90	1.7053	7156
पौधों	377	6.90	1.5551	2026
करोडों	378	6.90	1.7291	5543
टॉप	379	6.90	1.6690	4467
वरदान	380	6.90	1.4321	4825
पढाई	381	6.90	1.6690	1927
सागर	382	6.90	1.4880	958
कामना	383	6.90	1.5152	4415
गाते	384	6.90	1.3740	5707
जीने	385	6.88	1.6492	4164
कविता	386	6.88	1.3346	1076
हाथी	387	6.88	1.5070	2624
शिशु	388	6.88	1.7571	3049
संगीतकार	389	6.88	1.4934	2324
सालगिरह	390	6.88	1.6243	9001
विकसित	391	6.88	1.6117	417
साफ	392	6.88	1.5862	1338
कमाया	393	6.88	1.6738	8372
कलाकार	394	6.88	1.5070	273
सुविधाओं	395	6.88	1.5471	2058
शादी	396	6.88	2.1058	1488
जवान	397	6.88	1.5471	5211
कैलाश	398	6.88	1.6980	6469
देखभाल	399	6.88	1.3944	2209
आदर	400	6.88	1.6117	3252
संगम	401	6.88	1.4797	2409
अनुकूल	402	6.88	1.6492	1448
नारंगी	403	6.88	1.2558	4562
फल	404	6.88	1.5205	1138
बाग	405	6.88	1.4658	3066
झंडा	406	6.88	1.5205	8265
मीठे	407	6.88	1.5338	5283
