Word	Havg	StDev	GoogleRank
快乐	1	7.82	1.4803	3675
喜悦	2	7.56	1.3273	5828
幸福	3	7.54	1.5147	2025
成功	4	7.48	1.3285	681
可爱	5	7.46	1.1817	6537
漂亮	6	7.42	1.6424	3988
完美	7	7.40	1.7496	4804
健康	8	7.40	1.4708	1219
高兴	9	7.38	2.0887	2086
欣喜	10	7.34	1.4514	9700
精彩	11	7.32	1.4348	5606
优美	12	7.30	1.3286	4801
繁荣	13	7.28	1.5391	2134
冠军	14	7.24	1.5592	5058
优异	15	7.24	1.6728	6367
善良	16	7.24	1.2048	6256
欢乐	17	7.22	1.7990	4866
美好	18	7.22	1.6449	2953
祝贺	19	7.20	1.3553	5154
丰收	20	7.20	1.6782	6416
愉快	21	7.20	1.7496	4382
赞扬	22	7.20	1.2454	4349
辉煌	23	7.18	1.5609	4355
赞美	24	7.18	1.4803	7473
爱	25	7.18	1.9345	2050
优质	26	7.16	1.6581	2701
自豪	27	7.16	1.2182	5009
美	28	7.16	1.5566	568
富强	29	7.16	1.5954	8021
恋爱	30	7.14	1.7614	7077
乐观	31	7.12	1.3037	3685
光荣	32	7.12	1.7802	3074
诚实	33	7.12	1.4658	6320
美妙	34	7.12	1.5338	7506
温暖	35	7.12	1.2879	5032
心爱	36	7.12	1.7802	9965
喜	37	7.10	1.7642	6765
真诚	38	7.08	1.7243	4024
幸运	39	7.08	1.5232	6343
奇迹	40	7.08	1.7594	5119
灿烂	41	7.08	1.4686	4838
光辉	42	7.06	1.4057	3484
享受	43	7.06	1.3614	1874
奖励	44	7.06	1.4902	2185
笑	45	7.06	1.8780	3016
诚信	46	7.06	1.7544	8901
新娘	47	7.04	1.8731	7860
突飞猛进	48	7.04	1.6777	9161
优秀	49	7.04	2.0199	1439
笑容	50	7.04	1.7492	5745
妈妈	51	7.02	1.7899	2205
优	52	7.02	1.7319	2181
喜欢	53	7.02	1.5583	1612
庆祝	54	7.00	1.5649	3531
壮丽	55	7.00	1.8070	8415
表扬	56	7.00	1.8070	7417
繁华	57	7.00	1.3248	9341
高贵	58	7.00	1.4983	8255
亲切	59	7.00	1.4569	3404
卓越	60	6.98	1.4637	4541
诚挚	61	6.98	1.4913	9812
母亲	62	6.96	1.6898	1321
优胜	63	6.96	1.6777	8928
满意	64	6.96	1.7019	2083
天才	65	6.94	1.8003	4456
欢呼	66	6.94	1.3763	8459
微笑	67	6.94	1.5174	5057
童话	68	6.94	1.3001	8947
丰厚	69	6.94	1.3614	7073
聪明	70	6.94	1.2022	3608
壮观	71	6.94	1.0956	7509
喜爱	72	6.94	1.4344	4685
兴旺	73	6.92	1.7939	5398
美丽	74	6.92	1.6762	2992
感激	75	6.92	1.1036	5958
大好	76	6.90	1.3286	5702
奉献	77	6.90	1.3439	5041
富	78	6.90	1.9299	2333
亲爱	79	6.90	1.7291	8489
哈哈	80	6.88	1.6860	7484
胜	81	6.88	1.7100	3434
富有	82	6.88	1.7337	3220
富余	83	6.88	1.4797	7767
感谢	84	6.88	1.5070	3071
出色	85	6.88	1.4797	4040
亲密	86	6.88	1.4797	5728
荣誉	87	6.88	1.5070	4086
创新	88	6.88	1.0999	1118
乐趣	89	6.86	1.3999	7434
好事	90	6.86	1.5651	4915
了不起	91	6.86	1.7144	5338
胜利	92	6.86	2.0505	731
花朵	93	6.86	1.4287	8014
礼貌	94	6.86	1.3403	8713
称赞	95	6.86	1.4144	7947
信任	96	6.86	1.5254	2732
融洽	97	6.86	1.3852	9937
赞赏	98	6.86	1.4570	5301
可喜	99	6.86	1.5520	6456
奖	100	6.86	1.8407	2412
廉洁	101	6.86	1.5651	7431
勤奋	102	6.84	1.2513	7961
鼓励	103	6.84	1.1132	1238
激励	104	6.84	1.3607	2675
热情	105	6.84	1.6581	2057
浪漫	106	6.84	1.6081	3399
亲人	107	6.84	1.7538	4862
真挚	108	6.84	1.4194	8979
红利	109	6.84	1.2014	7742
高尚	110	6.84	1.6458	4578
乐	111	6.84	1.5954	3146
杰出	112	6.84	1.5434	3119
杰作	113	6.82	1.4097	8587
好评	114	6.82	1.4241	5204
慈善	115	6.82	1.2887	6484
强盛	116	6.82	1.3354	8432
舒适	117	6.82	1.2403	7447
宝贝	118	6.82	1.7577	8274
忠诚	119	6.82	1.9026	4999
尊敬	120	6.82	1.5345	4691
优良	121	6.80	1.6782	2719
热心	122	6.80	1.3851	6750
舒服	123	6.80	1.5119	5485
可贵	124	6.80	1.3997	5008
圆满	125	6.80	1.8406	4755
伟大	126	6.80	1.8626	942
幽默	127	6.80	1.3248	5842
卓有成效	128	6.80	1.6036	7348
光彩	129	6.80	1.1429	5768
顺利	130	6.78	1.6073	1866
兴奋	131	6.78	1.3893	3049
美感	132	6.78	1.8438	6858
鼓舞	133	6.78	1.3138	2865
赞成	134	6.78	1.6695	3187
满足	135	6.78	1.5945	842
珍贵	136	6.78	1.3445	4293
轻松	137	6.78	1.6199	3809
天赋	138	6.78	1.3293	8434
富裕	139	6.78	1.7990	3514
福	140	6.78	1.6449	3929
热烈	141	6.78	1.3293	2099
欣赏	142	6.78	1.3596	2607
姐妹	143	6.76	1.4078	5355
鲜花	144	6.76	1.1877	7797
拥抱	145	6.76	1.3786	8057
赞叹	146	6.76	1.8020	9240
喜剧	147	6.76	1.5851	4653
奖金	148	6.76	1.5722	2888
福利	149	6.76	1.3024	1558
光明	150	6.76	1.5592	3790
战胜	151	6.74	1.7706	3407
进步	152	6.74	1.2747	740
自信	153	6.74	1.4957	5468
正义	154	6.74	1.6264	2420
兴盛	155	6.74	1.7935	6820
有趣	156	6.74	1.4401	3754
诚意	157	6.74	1.2090	7296
天堂	158	6.74	1.8932	8264
和平	159	6.74	1.9146	945
婚礼	160	6.74	1.6264	6239
盈余	161	6.72	1.1073	7198
优越	162	6.72	1.3559	2422
才华	163	6.72	1.5784	6624
诚恳	164	6.72	1.3856	7451
旺盛	165	6.72	1.3856	6095
谢谢	166	6.70	1.5940	6169
好	167	6.70	1.7173	113
振兴	168	6.70	1.4033	3609
感动	169	6.70	1.3286	4010
热忱	170	6.70	1.5419	8241
信赖	171	6.70	1.2657	5797
风趣	172	6.70	1.1473	9763
童年	173	6.70	1.7871	7544
精华	174	6.68	1.8007	6575
结婚	175	6.68	1.7313	2520
灵敏	176	6.68	0.9570	8124
发达	177	6.68	1.5836	769
崇高	178	6.68	1.5836	3795
敬意	179	6.68	1.1328	8173
多彩	180	6.68	1.0583	4941
阳光	181	6.68	1.8892	3780
关怀	182	6.68	1.5576	5209
功绩	183	6.68	1.3005	5649
痛快	184	6.68	1.3619	8338
活泼	185	6.68	1.5706	5188
升华	186	6.68	1.2688	7449
全心全意	187	6.68	1.6218	5346
丰硕	188	6.68	1.6956	7609
爸	189	6.68	1.4907	1476
爱好	190	6.68	1.3161	3621
智慧	191	6.68	1.9213	2451
精英	192	6.68	1.8232	7858
高效	193	6.66	1.4792	3998
欢	194	6.66	1.6612	5403
宝贵	195	6.66	1.5986	3143
尊重	196	6.66	1.4654	1958
晋升	197	6.66	1.6977	5553
名胜	198	6.66	1.4373	7800
