Word	Havg	StDev	FreqListRank	TwitterRank
사랑합니다	1	7.84	1.2675	688	1543
사랑해	2	7.84	1.2513	596	840
사랑해요	3	7.80	1.2122	--	1136
축하합니다	4	7.64	1.2415	--	2809
행복	5	7.62	1.4412	--	4289
happy	6	7.62	1.3834	--	2488
Happy	7	7.62	1.2599	--	818
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	8	7.60	1.5253	--	5969
사랑	9	7.60	1.3702	153	658
축하드립니다	10	7.58	0.9916	--	2089
행복해	11	7.56	1.4591	--	4583
사랑한다	12	7.54	1.2969	2326	3852
HAPPY	13	7.54	1.4172	--	4516
메리크리스마스	14	7.52	1.3589	--	979
행복하다	15	7.50	1.4463	4315	5980
love	16	7.50	1.4743	--	1037
사랑한다고	17	7.46	1.0730	--	5565
행복한	18	7.44	1.4309	1715	358
축하드려요	19	7.44	0.9930	--	2285
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	20	7.44	1.7043	--	3215
사랑하고	21	7.42	1.1265	--	2598
최고	22	7.40	1.3248	--	651
고마워	23	7.40	1.2936	422	588
축하해	24	7.40	0.9689	--	2443
Christmas	25	7.38	1.4693	--	1029
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	26	7.36	1.4535	--	2778
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	27	7.36	1.7468	--	4361
사랑하는	28	7.34	1.3644	830	529
크리스마스	29	7.34	1.2056	2079	115
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	30	7.32	1.8232	--	5483
해피	31	7.32	1.4769	--	3864
행복하고	32	7.32	1.2196	--	3825
크리스마스날	33	7.30	1.2976	--	5405
환영합니다	34	7.30	1.1995	1479	5717
이쁘다	35	7.30	0.9530	--	1950
크리스마스가	36	7.30	1.3286	--	1787
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	37	7.30	1.8434	--	5022
감사합니다^^	38	7.28	1.3099	--	1854
Best	39	7.28	1.3099	--	3847
사랑의	40	7.28	1.2296	--	1864
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	41	7.28	1.6908	--	3867
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	42	7.28	1.3708	--	1829
웃음	43	7.26	1.1747	388	1895
선물	44	7.24	1.2382	3675	537
사랑은	45	7.24	1.1350	672	1254
사랑이	46	7.24	1.1877	2681	1567
즐거운	47	7.24	1.0412	897	213
즐겁고	48	7.24	1.0984	--	2446
성탄절	49	7.22	1.3746	5103	2621
화이팅	50	7.22	1.4469	--	275
행복한거야	51	7.22	1.2982	4314	--
