Word	HappRank	Havg	StDev	Gweb_Rank	TwitterRank	Gbook_Rank
amor	1	8.68	0.7126	332	69	364
felicidad	2	8.60	0.8330	3620	381	2276
felicidades	3	8.48	0.7351	--	341	--
paz	4	8.42	0.8827	700	391	348
jajajajajajajajaja	5	8.42	1.0319	--	1999	--
amar	6	8.38	0.9452	--	776	--
sonreir	7	8.38	0.9452	--	2639	--
beso	8	8.36	0.7217	2997	309	--
éxito	9	8.34	0.8715	1452	697	1027
felíz	10	8.34	0.9607	--	2308	--
jajajajajajajajajaja	11	8.34	1.1359	--	2859	--
¡feliz	12	8.34	1.1359	--	544	--
alegria	13	8.34	1.0022	--	1784	--
enamoré	14	8.32	0.8676	--	2475	--
jajajajajajaja	15	8.32	1.0962	--	647	--
sonrisas	16	8.28	0.8581	--	2094	--
sonrisa	17	8.28	0.9697	--	583	4148
jajajajajajajaj	18	8.28	1.0698	--	4833	--
jajajajajajajaja	19	8.28	1.1787	--	1163	--
enamorarse	20	8.28	1.0309	--	4644	--
jajajajajajajajajajaja	21	8.26	1.3822	--	3889	--
jajajajaja	22	8.26	1.1920	--	173	--
love	23	8.26	0.9858	1637	93	--
friends	24	8.26	0.9858	2301	1018	--
sonríe	25	8.26	0.8992	--	5015	--
maravillosa	26	8.24	0.8704	--	4654	--
besos	27	8.24	1.0797	2450	318	--
vacaciones	28	8.24	0.9806	1404	690	--
enamorarme	29	8.24	0.9806	--	3998	--
Éxito	30	8.24	1.0214	--	4184	--
enamorados	31	8.22	0.9322	--	5033	--
festejar	32	8.22	0.8640	--	3707	--
felices	33	8.22	1.0359	--	879	--
méxico	34	8.22	1.2002	145	956	143
happy	35	8.22	1.0160	--	80	--
alegría	36	8.22	1.0746	4147	1488	2242
besotes	37	8.22	0.7365	--	4682	--
vida	38	8.22	1.0746	115	58	71
excelente	39	8.20	0.9689	1252	467	3065
happiness	40	8.20	1.1249	--	4642	--
hermosa	41	8.20	0.9258	3881	382	3006
jajajjajaja	42	8.20	1.3997	--	3926	--
besote	43	8.20	1.2289	--	2477	--
musica	44	8.20	1.0880	772	635	--
mamá	45	8.20	1.0690	5093	541	4903
abrazote	46	8.18	0.9409	--	1797	--
enamorada	47	8.18	1.2070	--	1862	--
divertido	48	8.18	0.9190	--	1772	--
enamorado	49	8.18	1.0631	--	1633	--
felicitaciones	50	8.18	0.9190	--	2682	--
placer	51	8.16	1.0759	3410	1477	2572
buenisimo	52	8.16	0.7918	--	1869	--
feliiiz	53	8.16	1.5566	--	2536	--
vivir	54	8.16	1.2349	1192	454	920
amamos	55	8.16	1.0759	--	2442	--
congratulations	56	8.16	1.0568	--	2474	--
música	57	8.16	0.9553	214	573	1050
amarte	58	8.16	1.1669	--	2632	--
libre	59	8.14	1.1250	352	1373	528
triunfo	60	8.14	1.1608	3659	4142	1519
risa	61	8.14	0.9691	5060	531	--
amo	62	8.14	1.1954	2039	76	3828
jajajajjaja	63	8.14	1.1068	--	3127	--
abrazos	64	8.14	1.0692	--	790	--
risas	65	8.14	0.9037	--	1940	--
¡¡feliz	66	8.14	1.5520	--	4546	--
madre	67	8.14	1.3250	882	261	538
sonreír	68	8.12	0.9613	--	1722	--
feliiz	69	8.12	1.3346	--	1116	--
excelentes	70	8.12	1.0622	--	5113	--
navidad	71	8.12	1.2720	2049	581	--
felizzzz	72	8.12	1.2395	--	4593	--
playa	73	8.12	1.0230	1203	466	4249
alegre	74	8.10	1.0738	--	3152	3970
prosperidad	75	8.10	0.9313	--	940	3885
amooor	76	8.10	1.6194	--	4930	--
ajajajaja	77	8.10	1.4321	--	2986	--
aman	78	8.08	1.0850	--	3278	--
bella	79	8.08	0.8999	3418	607	3355
hermosas	80	8.08	0.9655	--	1984	--
jajajajajaj	81	8.08	1.2428	--	1414	--
#feliz	82	8.08	1.3377	--	5263	--
feliz	83	8.08	1.1753	1730	19	2113
alegrías	84	8.08	1.2752	--	3521	--
maravilloso	85	8.06	1.0956	--	1774	--
inteligente	86	8.06	1.0184	4537	1770	4529
confianza	87	8.06	1.0577	2387	2112	1232
contento	88	8.04	1.0490	--	4412	--
ríe	89	8.04	1.1599	--	2931	--
sabiduría	90	8.04	1.1421	--	--	3450
amigos	91	8.04	1.1599	212	199	879
abrazar	92	8.04	0.8320	--	4070	--
