Word	Havg	StDev	FrqList
االله	1	8.20	1.3401	4877
محمد	2	8.10	1.3132	121
نماز	3	8.08	1.2911	927
صلي_الله_عليه_وسلم	4	8.00	1.7143	5841
الله	5	8.00	1.5779	2450
للہ	6	7.92	1.4686	5421
اللہ	7	7.90	1.6067	181
عبدالله	8	7.88	1.4234	6479
جنت	9	7.82	1.3045	1806
رسول	10	7.80	1.4846	662
عبداللہ	11	7.80	1.3851	850
الرحمن	12	7.80	1.7728	1892
نمازيں	13	7.78	1.3893	8006
مسلمان	14	7.78	1.5158	344
مساجد	15	7.76	1.4786	1989
حج	16	7.74	1.5624	1896
القران	17	7.70	1.5152	2696
پيغمبر	18	7.70	1.5811	2530
مكہ	19	7.70	1.5152	823
مدينے	20	7.68	1.3915	4388
انبياء	21	7.68	1.5312	3082
الرحيم	22	7.66	1.5986	5789
اسلام	23	7.64	1.6507	183
فرشتہ	24	7.62	1.3686	5174
كلمہ	25	7.62	1.6769	2636
پشاور	26	7.56	1.4868	1429
مسجدوں	27	7.56	1.3726	7481
الرحمان	28	7.56	1.5274	5290
فرشتے	29	7.54	1.6686	5032
پيغمبروں	30	7.54	1.7521	7082
رب	31	7.54	1.6062	2105
سجدہ	32	7.54	1.5414	5330
الرسول	33	7.54	1.7286	8235
باللہ	34	7.54	1.6686	4885
تلاوت	35	7.54	1.6563	3979
پاكستان	36	7.54	1.6686	42
مدينہ	37	7.54	1.6439	1001
مسلمانوں	38	7.52	1.4177	367
قران	39	7.52	1.7870	360
حضور	40	7.52	1.5285	972
اذان	41	7.50	1.7409	4997
رمضان	42	7.50	1.4321	2149
عبدالرحيم	43	7.50	1.4743	7950
عبيداللہ	44	7.50	1.4463	6365
عبدالحكيم	45	7.48	1.4320	9951
پروردگار	46	7.48	1.4320	6554
عبدالسلام	47	7.46	1.4875	8591
نمازيوں	48	7.46	1.6686	8683
نمازوں	49	7.46	1.4875	6897
عبدالرحمن	50	7.46	1.6686	2892
حديث	51	7.44	1.4730	863
احمد	52	7.44	1.4591	295
عبدالحميد	53	7.42	1.4581	6852
مسجد	54	7.42	1.8193	535
رحمن	55	7.40	1.7843	9335
السلام	56	7.40	1.7143	938
خدا	57	7.38	1.6890	631
سلام	58	7.38	1.4270	2150
الحمد	59	7.38	1.5372	6667
الكريم	60	7.36	1.3516	7345
نبوي	61	7.36	1.5748	2059
خوبصورت	62	7.34	1.3494	816
احاديث	63	7.34	1.6364	1677
كعبہ	64	7.34	1.8802	2949
معبود	65	7.34	1.4514	4599
رحمت	66	7.34	1.1713	1634
رحمان	67	7.34	1.4930	6581
عبدالمجيد	68	7.34	1.4930	8838
استاد	69	7.34	1.3494	1302
صحابہ	70	7.32	1.6468	1720
والدہ	71	7.32	1.6591	1200
الحديث	72	7.32	1.8120	4403
فرشتوں	73	7.32	1.6591	5415
ثواب	74	7.32	1.3161	5721
صادق	75	7.32	1.5178	2114
جبريل	76	7.30	1.4743	6440
زكوۃ	77	7.30	1.5551	6024
عبدالمطلب	78	7.30	1.4880	4295
مسلمانان	79	7.30	1.5940	6754
مسلم	80	7.30	1.4033	323
روزہ	81	7.30	1.4463	1628
عبادت	82	7.30	1.7173	1177
نبوت	83	7.30	1.4743	2440
توحيد	84	7.28	1.4434	2802
اسلامي	85	7.28	1.3254	247
نبي	86	7.28	1.7028	947
ابوبكر	87	7.28	1.4003	2528
سورۃ	88	7.28	1.4434	2304
عبادات	89	7.26	1.3822	5652
العلماء	90	7.26	1.4820	6918
الاسلام	91	7.26	1.6389	2857
حسين	92	7.26	1.4259	450
الصلوۃ	93	7.26	1.7474	9767
الحسين	94	7.24	1.5328	8709
ياسين	95	7.24	1.3933	8431
والد	96	7.22	1.5158	440
اسلامك	97	7.22	1.4184	4502
شہزادوں	98	7.22	1.2171	6982
رحمتہ	99	7.22	1.4327	7116
مدارس	100	7.22	1.5945	3313
اكبر	101	7.22	1.4469	1164
نعمت	102	7.22	1.3138	3706
رسالت	103	7.20	1.3401	2382
ابوالحسن	104	7.20	1.4983	6065
ابراھيم	105	7.20	1.5779	7671
روزے	106	7.20	1.6660	5914
الايمان	107	7.18	1.4803	7049
مكرمہ	108	7.18	1.5077	3958
عشاء	109	7.18	1.6374	7437
ديانت	110	7.18	1.3354	7114
مومن	111	7.18	1.6374	3249
اولياء	112	7.18	1.4665	3446
رحيم	113	7.18	1.5345	3688
المبارك	114	7.18	1.4941	5206
حلال	115	7.18	1.5211	4169
ثناء	116	7.16	1.4194	8074
نكاح	117	7.16	1.2513	3120
سبحان	118	7.16	1.4479	8336
نفل	119	7.16	1.5434	8407
الاولياء	120	7.16	1.4049	8458
محبت	121	7.14	1.6904	907
اسلاميات	122	7.14	1.5520	8450
النبي	123	7.14	1.7263	4562
مصطفے	124	7.14	1.7958	6632
ماں	125	7.14	1.5909	1221
خليفہ	126	7.14	1.3999	977
اسماعيل	127	7.14	1.3999	1631
سجدے	128	7.14	1.9061	9348
پاكيزہ	129	7.14	1.3250	5709
باپ	130	7.14	1.5254	912
نمازي	131	7.14	1.7263	8005
گلاب	132	7.14	1.3704	5764
سكولوں	133	7.14	1.2124	4741
تعليم	134	7.14	1.2291	200
مومنين	135	7.12	1.5471	8666
پاكيزگي	136	7.12	1.6980	5457
رسولوں	137	7.12	1.4797	9336
والدين	138	7.12	1.7100	2081
عبدالغفار	139	7.12	1.4658	8592
عبدالرشيد	140	7.12	1.1718	8366
الملك	141	7.12	1.4518	3348
سكول	142	7.12	1.4090	1284
اسمعيل	143	7.10	1.5551	7519
پختونخوا	144	7.10	1.3740	1633
فاطمہ	145	7.10	1.5286	2486
دارالسلام	146	7.10	1.4033	9582
فجر	147	7.10	1.4178	4854
مصطفي	148	7.10	1.7173	2071
مقدس	149	7.10	1.3132	1308
تبليغ	150	7.10	1.6320	1699
عبدالستار	151	7.10	1.2657	9092
طاقت	152	7.10	1.2976	684
پختونخواہ	153	7.10	1.5286	7708
خوش	154	7.10	1.2164	995
جيت	155	7.08	1.4824	2008
شہد	156	7.08	1.2911	7614
مريم	157	7.08	1.5497	4207
پاكستاني	158	7.08	1.8827	426
خالق	159	7.08	1.3529	2113
عيد	160	7.08	1.4263	3117
كريم	161	7.08	1.2752	1197
كاميابي	162	7.08	1.4961	467
تنخواہ	163	7.08	1.3377	4937
محمدي	164	7.08	1.5628	6155
قراني	165	7.08	1.6015	3139
خوشحال	166	7.08	1.3377	4288
عزت	167	7.08	1.3974	1629
ركوع	168	7.06	1.5308	2614
نعت	169	7.06	1.4902	3779
سنت	170	7.06	1.6587	1440
عبدالملك	171	7.06	1.4486	4643
الحميد	172	7.06	1.3763	9762
كتاب	173	7.06	1.4626	248
المسلمين	174	7.06	1.7192	7346
عالم	175	7.06	1.3311	385
مذہب	176	7.06	1.4057	580
شہيد	177	7.06	1.9940	1045
بزرگ	178	7.06	1.5832	1413
عالموں	179	7.06	1.4902	8365
اتفاق	180	7.04	1.3242	1859
سيب	181	7.04	1.1773	7127
روضہ	182	7.04	1.6408	5404
عقيدہ	183	7.04	1.4563	2001
حضرت	184	7.04	1.5113	269
عبدالقيوم	185	7.04	1.3395	8367
خديجہ	186	7.04	1.3696	5564
لڑكي	187	7.04	1.3696	2556
وضو	188	7.04	1.5381	5782
مسلموں	189	7.04	1.4136	5875
خوشحالي	190	7.02	1.3775	3944
زندگي	191	7.02	1.5713	169
صديق	192	7.02	1.3013	2868
علم	193	7.02	1.4068	180
عبدالعزيز	194	7.02	1.5842	2485
اكرام	195	7.02	1.3775	4221
عبدالكريم	196	7.02	1.4356	7618
كتابيں	197	7.02	1.2370	1041
اخلاقي	198	7.02	1.2534	1717
استاذ	199	7.02	1.4213	8022
دعاوں	200	7.02	1.5583	8546
ابوحنيفہ	201	7.02	1.6349	8697
امين	202	7.02	1.3923	2313
صدقہ	203	7.02	1.4356	6598
شمع	204	7.00	1.3093	5493
خداوند	205	7.00	1.4142	5629
عثمان	206	7.00	1.3851	1645
ايمان	207	7.00	1.6782	1223
الحسن	208	7.00	1.3401	3287
سليمان	209	7.00	1.3553	1672
ديندار	210	7.00	1.3093	9052
يعقوب	211	7.00	1.3401	3171
بادشاہ	212	6.98	1.3923	516
برسات	213	6.98	1.4637	7859
سويٹزرلينڈ	214	6.98	1.4637	3628
تعالي	215	6.98	1.4637	799
دعا	216	6.98	1.7437	1977
ظہر	217	6.98	1.3169	6851
صحابي	218	6.98	1.4776	2587
عليكم	219	6.98	1.3169	7132
رحمۃ	220	6.98	1.7319	3946
شہنشاہ	221	6.98	1.3923	1710
امن	222	6.98	1.2534	908
قايداعظم	223	6.98	1.6224	4646
عايشہ	224	6.98	1.2696	3265
شادي	225	6.98	1.6098	720
بزرگوں	226	6.98	1.5583	3350
صداقت	227	6.98	1.7082	4376
العالمين	228	6.98	1.3013	8961
لبيك	229	6.98	1.5713	7299
العزيز	230	6.98	1.4913	4404
حفظ	231	6.98	1.3626	3557
يونيورسٹي	232	6.98	1.5318	570
مولا	233	6.98	1.4637	7822
اعزاز	234	6.96	1.1945	868
نعمتوں	235	6.96	1.4422	8001
اسلاميہ	236	6.96	1.4702	1678
صبح	237	6.96	1.3395	1474
گريجويشن	238	6.96	1.2610	4807
مدني	239	6.96	1.5381	3640
الرشيد	240	6.96	1.2930	5701
الاسلامي	241	6.96	1.5248	9472
خوشخبري	242	6.96	1.1945	7747
صلح	243	6.96	1.2447	2511
مددگار	244	6.96	1.3696	4206
مہمان	245	6.96	1.1773	3416
علماء	246	6.96	1.7138	1102
سعيد	247	6.96	1.3087	1818
ابوطالب	248	6.96	1.7492	9209
حرمين	249	6.94	1.3001	6965
عورت	250	6.94	1.2357	1267
المومنين	251	6.94	1.9210	3827
وحدانيت	252	6.94	1.5703	9740
خوبصورتي	253	6.94	1.1851	2480
المدارس	254	6.94	1.4626	9478
خيبر	255	6.94	1.4057	1136
سورتيں	256	6.94	1.4344	7125
السعود	257	6.94	1.3763	9766
خوبياں	258	6.92	1.2428	5565
كاميابيوں	259	6.92	1.4961	5504
انصاف	260	6.92	1.4405	1761
وحي	261	6.92	1.5628	3479
عورتوں	262	6.92	1.3068	1663
ابوالقاسم	263	6.92	1.4263	7186
پٹھان	264	6.92	1.5628	5546
پسنديدہ	265	6.92	1.2752	2778
مذہبي	266	6.92	1.6015	533
شكريہ	267	6.92	1.2591	4744
بلال	268	6.92	1.3068	5216
امامت	269	6.92	1.5758	3648
نوجوان	270	6.92	1.2428	1716
شريعت	271	6.92	1.7710	1784
مدرسہ	272	6.92	1.6884	1869
بہار	273	6.92	1.4263	1501
محترم	274	6.92	1.0850	3739
المقدس	275	6.92	1.6268	3586
وفادار	276	6.92	1.3377	5440
الحرمين	277	6.92	1.4263	9475
الكتاب	278	6.92	1.5628	8711
عمرہ	279	6.92	1.5497	8142
حمزہ	280	6.90	1.4743	4788
نور	281	6.90	1.5152	1219
معظمہ	282	6.90	1.4463	3504
نوح	283	6.90	1.2495	4148
خدمت	284	6.90	1.2817	923
قبلہ	285	6.90	1.4604	5257
دين	286	6.90	1.8871	630
عبدالقادر	287	6.90	1.7525	4702
شہزادے	288	6.90	1.6444	6034
شفقت	289	6.90	1.4033	5335
روح	290	6.90	1.4033	1249
رہنماء	291	6.90	1.2330	7413
حمد	292	6.90	1.7291	4076
درود	293	6.90	1.6933	5732
الكلمات	294	6.90	1.4463	9772
ذاكر	295	6.90	1.2657	6118
خاتون	296	6.90	1.2657	1432
محبوب	297	6.90	1.4178	2341
دوستي	298	6.90	1.4178	2707
شادياں	299	6.90	1.2330	6031
بہادري	300	6.90	1.1473	3320
اصحاب	301	6.90	1.6690	2835
بہن	302	6.90	1.2976	1998
خوشي	303	6.90	1.3590	2147
مولانا	304	6.90	1.6067	811
خطبہ	305	6.90	1.5811	3301
حافظ	306	6.88	1.3649	1842
ہمدرد	307	6.88	1.2061	7826
باعزت	308	6.88	1.1364	9793
صوفياء	309	6.88	1.5205	5651
صاحبزادي	310	6.88	1.5732	4852
حاجي	311	6.88	1.3498	3203
لڑكياں	312	6.88	1.2720	7004
دارالعلوم	313	6.88	1.5338	4241
امت	314	6.88	1.4797	1876
كالج	315	6.88	1.2879	613
پاكستانيوں	316	6.88	1.6117	6429
تفريح	317	6.88	1.2061	3256
درخت	318	6.88	1.1718	1809
نيكي	319	6.88	1.4234	4989
اخلاص	320	6.88	1.4090	6068
اولاد	321	6.88	1.3649	1030
انحضرت	322	6.88	1.7219	3174
حجاج	323	6.88	1.4518	5561
رشتہ	324	6.88	1.1542	1525
جبراييل	325	6.88	1.6492	8297
قرات	326	6.88	1.6980	5659
